H,インバランス料金単価（円/kWh）,,,,,,,,,,,,,,,,,,,,,,
H,ファイル更新日,ファイル更新時刻,対象年月,,,,,,,,,,,,,,,,,,,,
H,20230722,7:36:08,202307,,余剰インバランス料金単価,,,,,,,,,,,,,,,,,,
合計 / 東京,列ラベル,,,,,,,,,,,,,,,,,,,,,,
行ラベル,20230701,20230702,20230703,20230704,20230705,20230706,20230707,20230708,20230709,20230710,20230711,20230712,20230713,20230714,20230715,20230716,20230717,20230718,20230719,20230720,20230721,20230722,総計
1,11.1,10.15,10.38,9.75,13.35,12.09,11.15,14.13,12.81,11.69,10.23,15.87,9.64,10.05,10.69,10.39,10.91,13.72,15.89,11.24,10.96,9.19,255.38
2,9.79,10.38,11.96,8.84,10.46,11.37,10.14,13.83,12.22,11.59,6.84,15.58,9.62,10.4,10.35,10.05,11.64,12.78,11.92,11.73,10.2,8.92,240.61
3,9.8,9.98,10.73,7.84,8.27,10.46,10.04,13.2,21.49,11.18,11.86,14.62,6.25,11.96,11.05,14.95,10.5,12.75,12.45,11.41,10.92,9.25,250.96
4,9.3,10.19,10.3,7.84,9.7,11.2,9.93,13.24,12.59,11.03,5.83,13.64,10.28,10.05,11.63,12.16,10,11.86,12.17,11.92,9.93,10.05,234.84
5,11.08,10.21,11.59,11.5,8.84,10.9,10.05,12.96,12.36,10.94,8.44,12.56,6.52,10.05,12.72,13.08,8.93,10.5,12.21,11.91,9.8,9.34,236.49
6,11.13,10.05,8.63,10.98,7.84,10.24,10.04,13.03,12.03,10.91,9.52,11.72,5.83,10.05,13.25,10.64,9.84,9.76,12.07,11.87,9.75,9.21,228.39
7,10.24,10.29,10.02,11.5,7.71,10.46,9.97,11.65,12.63,10.93,10.47,12.15,9,10.05,12.47,10.01,9.96,9.87,12.18,11.67,9.74,9.22,232.19
8,9.47,10.38,10.2,11.5,7.84,10.46,10.12,11.51,11.57,10.83,9.89,12.13,10.44,10.08,11.26,10.32,10.13,10.19,12.48,11.75,9.89,9.31,231.75
9,10.06,10.45,10.37,11.5,8.54,10.62,10.36,11.71,11.79,11.06,10.36,11.6,4.67,9.81,11.14,12.12,9.82,9.17,12.05,11.63,9.95,9.23,228.01
10,9.97,10.35,10.41,15.4,7.84,10.2,10.31,11.53,11.33,11.31,9.45,9.13,10.27,9.96,10.05,13.53,9.76,10.43,11.88,11.6,10.07,9.22,234
11,9.02,10.46,10.21,10.72,11.5,11.46,10.26,11.79,11.65,11.31,12.08,10.37,9.96,9.99,10.4,10.15,9.73,10.3,11.8,11.59,10.86,9.26,234.87
12,20.44,19.48,17.92,10.28,10.72,10.46,9.62,12.04,11.36,11.16,9.12,11.41,9.87,10.8,10.67,8.48,10.43,9.06,11.92,11.71,9.97,8.9,255.82
13,10.04,10.61,13.83,10.19,9.52,10.13,9.59,13.88,11.17,10.96,9.58,10.45,10.32,9.29,10.55,9.49,10.04,10.21,13.77,11.72,9.77,8.64,233.75
14,9.93,10.62,17.92,9.38,9.5,9.61,9.16,22.15,11.06,11.19,10.26,10.94,10.32,8.84,11.6,10.8,9.71,10.59,12.65,11.49,9.82,7.83,245.37
15,10.69,7.41,10.74,9.32,9.51,8.82,9.28,14.99,11.56,11.12,9.57,9.93,12.46,8.75,5.74,9.25,9.55,9.9,14.31,9.3,9.81,5.37,217.38
16,10.04,1.95,8.95,10.22,10.52,9.4,5.27,17.26,14.19,11.25,9.65,9.9,14.09,9.09,13.46,9.8,9.49,11.29,14.87,8.79,10.74,,220.22
17,10.16,7.34,10.38,4.06,10.21,9.01,9.7,14.96,11.55,18.71,7.31,9.68,9.87,8.99,9.73,9.58,9.58,9.97,15.39,7.84,9.63,,213.65
18,12.76,1.91,12.67,9.72,10.55,3.95,9.85,16.34,11.2,14.21,8.68,14.93,13.03,9.54,9.7,3.37,5.65,16.29,15.98,7.47,9.93,,217.73
19,12.29,0.43,16.41,9.74,10.99,6.12,11.21,25.45,12.31,17.61,9.49,15.82,12.31,9.65,9.86,4.11,7.67,15.94,16.49,8.79,9.91,,242.6
20,11.77,0.5,18.29,10.3,10.98,5.75,11.89,21.29,11.62,16.24,9.5,16.66,11.89,9.67,9.93,7.19,10.82,15.78,16.61,9.73,10.84,,247.25
